Car Name,Location,Company Name,Make,Model,Color,Price,Manufacture Year,Link
Mercedes-Benz C300 2015 White,"Lagos, Yaba",kuvuki Motos,Mercedes-Benz,C300,,"₦ 17,500,000",2015,https://jiji.ng/yaba/cars/mercedes-benz-c300-2015-white-r9Didag6JjQgYrGMeogHKHFj.html?page=2&pos=4&cur_pos=4&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=25
Mercedes-Benz GLK-Class 2015 White,"Lagos, Yaba",kuvuki Motos,Mercedes-Benz,GLK-Class,,"₦ 19,800,000",2015,https://jiji.ng/yaba/cars/mercedes-benz-glk-class-2015-white-fytBcsTo2aUEjqlqckfrZYmU.html?page=2&pos=5&cur_pos=5&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=26
Mercedes-Benz GLE-Class GLE 350 2016 White,"Lagos, Magodo",Shogo Global Autos,Mercedes-Benz,GLE-Class,White,"₦ 39,800,000",2016,https://jiji.ng/magodo/cars/mercedes-benz-gle-class-gle-350-2016-white-uu0IorOtdP1hTy297HuON4EF.html?page=2&pos=6&cur_pos=6&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=27
Mercedes-Benz GL-Class GL 450 2008 Silver,"Lagos, Isolo",Sahbjams Autos,Mercedes-Benz,GL-Class,,"₦ 9,850,000",2008,https://jiji.ng/isolo/cars/mercedes-benz-gl-class-gl-450-2008-silver-r0u1OqlNlpNn2xw6wBIZ712u.html?page=2&pos=7&cur_pos=7&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=28
Mercedes-Benz M Class 2015 White,"Lagos, Ajah",Dan Zeal,Mercedes-Benz,M Class,,"₦ 30,000,000",2015,https://jiji.ng/ajah/cars/mercedes-benz-m-class-2015-white-ifdwKZT7hcRLFZycflanu0px.html?page=2&pos=8&cur_pos=8&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=29
Mercedes-Benz M Class 2014 White,"Lagos, Ikeja",Magautos (Mainland Auto Giant),Mercedes-Benz,M Class,,"₦ 31,000,000",2014,https://jiji.ng/ikeja/cars/mercedes-benz-m-class-2014-white-C5StpqEjDFe01RAwl975Njsz.html?page=2&pos=9&cur_pos=9&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=30
Mercedes-Benz GLK-Class 2015 White,"Lagos, Apapa",GRANT AUTO GROUP,Mercedes-Benz,GLK-Class,,"₦ 25,000,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-2015-white-1JZA8AepM314Bd5u5bZlTfOh.html?page=2&pos=10&cur_pos=10&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=31
Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,"Lagos, Amuwo-Odofin",LINER LUXURY,Mercedes-Benz,GLK-Class,,"₦ 25,500,000",2014,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glk-class-350-4matic-2014-black-fiJxl28jTJ5LKAJtG67wOpbK.html?page=2&pos=11&cur_pos=11&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=32
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,"Lagos, Apapa",Glorious Autos,Mercedes-Benz,GLK-Class,,"₦ 15,000,000",2010,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2010-white-ab5WQoySSVyJ77COCEpJRNf9.html?page=2&pos=12&cur_pos=12&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=33
Mercedes-Benz GLK-Class 350 4MATIC 2010 Red,"Lagos, Apapa",Zubis Motors,Mercedes-Benz,GLK-Class,,"₦ 15,500,000",2010,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2010-red-gevv1pHMVRZ8qUoYOWH8Mn5H.html?page=2&pos=13&cur_pos=13&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=34
Mercedes-Benz E300 2017 Blue,"Lagos, Surulere",Bizzle-Cars,Mercedes-Benz,E300,,"₦ 38,500,000",2017,https://jiji.ng/surulere/cars/mercedes-benz-e300-2017-blue-mFMFoKlfaRzeuw7Y7LCfJ7hw.html?page=2&pos=14&cur_pos=14&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=35
Mercedes-Benz M Class ML 350 4Matic 2013 White,"Lagos, Apapa",S-A SUPERBMAX AUTOS,Mercedes-Benz,M Class,,"₦ 27,000,000",2013,https://jiji.ng/apapa/cars/mercedes-benz-m-class-ml-350-4matic-2013-white-yw809dWtdzCelJ8wxxU1BTi8.html?page=2&pos=15&cur_pos=15&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=36
Mercedes-Benz GLA 250 2015 Blue,"Lagos, Apapa",GRANT AUTO GROUP,Mercedes-Benz,GLA 250,Blue,"₦ 28,000,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-gla-250-2015-blue-CxttSMNbaT2tRZkJnOmhyucK.html?page=2&pos=16&cur_pos=16&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=37
Mercedes-Benz M Class 2014 White,"Lagos, Apapa",S-A SUPERBMAX AUTOS,Mercedes-Benz,M Class,,"₦ 28,500,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-white-mAV33pghTbUz9UIOIdxhOy2Q.html?page=2&pos=17&cur_pos=17&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=38
Mercedes-Benz GLK-Class 350 4MATIC 2010 Silver,"Lagos, Apapa",God is good autos ltd,Mercedes-Benz,GLK-Class,,"₦ 16,500,000",2010,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2010-silver-wwZVbQTGkpKElXgeWpP4qOrx.html?page=2&pos=18&cur_pos=18&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=39
Mercedes-Benz GLA 250 2015 Gray,"Lagos, Agege",Debby Autos,Mercedes-Benz,GLA 250,Gray,"₦ 28,000,000",2015,https://jiji.ng/agege/cars/mercedes-benz-gla-250-2015-gray-n9N5ojBJVuUNauO3BJ2I7NR6.html?page=2&pos=19&cur_pos=19&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=40
Mercedes-Benz GLC-Class 2017 Black,"Lagos, Amuwo-Odofin",Peak Autos SYNERGY,Mercedes-Benz,GLC-Class,,"₦ 43,500,000",2017,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2017-black-hVjGqW4eMyHLOICoaugNLiFy.html?page=2&pos=20&cur_pos=20&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=41
Mercedes-Benz GLC-Class 2016 Gray,"Lagos, Apapa",Infiniti Motors,Mercedes-Benz,GLC-Class,Gray,"₦ 45,500,000",2016,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2016-gray-roOwPMubREgVQ86MBWEbMW8j.html?page=2&pos=21&cur_pos=21&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=42
Mercedes-Benz M Class 2015 Black,"Lagos, Magodo",Bubu Auto,Mercedes-Benz,M Class,,"₦ 27,500,000",2015,https://jiji.ng/magodo/cars/mercedes-benz-m-class-2015-black-rjcjaaHe9chLx645RyYasOK5.html?page=2&pos=22&cur_pos=22&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=43
Mercedes-Benz GLC-Class 2019 Black,"Lagos, Amuwo-Odofin",SUNEZ MICHEAL MOTORS,Mercedes-Benz,GLC-Class,Black,"₦ 46,000,000",2019,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2019-black-dxDhIdInvvIKOl88MrIkAcrT.html?page=2&pos=23&cur_pos=23&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=44
Mercedes-Benz E300 2017 White,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,E300,,"₦ 38,600,000",2017,https://jiji.ng/ikeja/cars/mercedes-benz-e300-2017-white-pC20EdvZrE26RZKs5DnKcHbb.html?page=3&pos=1&cur_pos=1&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=45
Mercedes-Benz GLA-Class 2018 Blue,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLA-Class,Blue,"₦ 29,800,000",2018,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2018-blue-r8MCYjndS7u7VaiRBgpaPgKR.html?page=3&pos=2&cur_pos=2&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=46
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Black,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLE-Class,,"₦ 88,600,000",2020,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-gle-350-4matic-2020-black-BE9DgMu3VTvS31964TVzNjp.html?page=3&pos=3&cur_pos=3&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=47
Mercedes-Benz C300 2008 Black,"Abuja, Garki 2",OPTIMUS,Mercedes-Benz,C300,,"₦ 7,700,000",2008,https://jiji.ng/garki-ii/cars/mercedes-benz-c300-2008-black-fqSbNQ0jKbifSvoGQLmi5SuW.html?page=3&pos=4&cur_pos=4&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=48
Mercedes-Benz GLE-Class 2017 Black,"Lagos, Ikeja",Lyncon Autos,Mercedes-Benz,GLE-Class,Black,"₦ 50,000,000",2017,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-2017-black-twQG3J6doqFcQAHW6zDJzaAI.html?page=3&pos=5&cur_pos=5&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=49
Mercedes-Benz M Class ML 350 4Matic 2013 Red,"Lagos, Surulere",Opeyemi’s Autos,Mercedes-Benz,M Class,,"₦ 25,500,000",2013,https://jiji.ng/surulere/cars/mercedes-benz-m-class-ml-350-4matic-2013-red-7SR5Z8U3qpb6H28SRyqdDTxR.html?page=3&pos=6&cur_pos=6&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=50
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Silver,"Lagos, Lekki",lagoscleancars,Mercedes-Benz,GLE-Class,,"₦ 95,500,000",2020,https://jiji.ng/lekki/cars/mercedes-benz-gle-class-gle-350-4matic-2020-silver-dwnm4a2tc0tKlVJCsbmvfFXp.html?page=3&pos=7&cur_pos=7&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=51
Mercedes-Benz M Class ML 350 4Matic 2012 Black,"Lagos, Isolo",Paul Akinde,Mercedes-Benz,M Class,,"₦ 23,500,000",2012,https://jiji.ng/isolo/cars/mercedes-benz-m-class-ml-350-4matic-2012-black-xoOybe3d02MBZzuOVPHlDljA.html?page=3&pos=8&cur_pos=8&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=52
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,"Lagos, Lekki",RomeoDuke Integrated Services,Mercedes-Benz,GLE-Class,,"₦ 39,999,999",2016,https://jiji.ng/lekki/cars/mercedes-benz-gle-class-gle-350d-4matic-2016-black-fZQRbNEw8yoZP1PQF3NYyBIC.html?page=3&pos=9&cur_pos=9&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=53
Mercedes-Benz M Class 2014 Black,"Lagos, Ojodu",Lambrono Autos,Mercedes-Benz,M Class,Black,"₦ 29,500,000",2014,https://jiji.ng/ojodu/cars/mercedes-benz-m-class-2014-black-iTLDSR83v2MVIfKJ90BLaDoX.html?page=3&pos=10&cur_pos=10&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=54
Mercedes-Benz GLK-Class 2015 White,"Lagos, Apapa",GRANT AUTO GROUP,Mercedes-Benz,GLK-Class,,"₦ 25,000,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-2015-white-dGYtUyzvefyd1XDVpNcr5Cmr.html?page=3&pos=11&cur_pos=11&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=55
Mercedes-Benz M Class 2015 Black,"Lagos, Apapa",Sammy Auto&amp;amp;#39;s,Mercedes-Benz,M Class,,"₦ 27,800,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2015-black-8VCAdJq1q8inP0pJJC0vHmDc.html?page=3&pos=12&cur_pos=12&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=56
Mercedes-Benz M Class 2015 Silver,"Lagos, Amuwo-Odofin",williansmoses autos,Mercedes-Benz,M Class,,"₦ 31,500,000",2015,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-2015-silver-8nsMj6pD08PTjU45BiKjHQJL.html?page=3&pos=13&cur_pos=13&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=57
Mercedes-Benz GLA 250 2017 White,"Lagos, Apapa",GRANT AUTO GROUP,Mercedes-Benz,GLA 250,White,"₦ 28,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-gla-250-2017-white-kOg8Q9u6u32TSHdVvBq4OCB9.html?page=3&pos=14&cur_pos=14&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=58
Mercedes-Benz GLC-Class 2016 Red,"Lagos, Apapa",Chiboy Autos Ltd,Mercedes-Benz,GLC-Class,Red,"₦ 41,000,000",2016,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2016-red-2NGAeaW0yeXdextlNxIPZUqd.html?page=3&pos=15&cur_pos=15&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=59
